Case	Constitutional Challenge Succeeded	Charter Right	Federal Government	Provincial Government	Criminal	International	Assenting Justices	Dissenting Justices	Tag1	Tag2
R. v. MacDonald	0	1	0	0	1	0	McLachlin(Beverley);LeBel(Louis);Fish(Morris J.);Abella(Rosalie Silberman);Rothstein(Marshall);Moldaver(Michael J.);Wagner(Richard)	-	Search	Firearms
R. v. St_Onge Lamoureux	0	1	1	1	1	0	McLachlin(Beverley);LeBel(Louis);Deschamps(Marie);Fish(Morris J.);Abella(Rosalie Silberman)	Rothstein(Marshall);Cromwell(Thomas Albert)	Presumption of Innocence	Breahtalyzers
Public Service Alliance of Canada v. Canada Post Corp.	1	1	0	0	0	0	McLachlin(Beverley);LeBel(Louis);Deschamps(Marie);Fish(Morris J.);Abella(Rosalie Silberman);Rothstein(Marshall);Cromwell(Thomas Albert);Moldaver(Michael J.);Karakatsanis(Andromache)	-	Equality	Equal Pay
Marine Services International Ltd. v. Ryan Estate	0	0	1	1	0	0	McLachlin(Beverley);LeBel(Louis);Fish(Morris J.);Abella(Rosalie Silberman);Rothstein(Marshall);Cromwell(Thomas Albert);Moldaver(Michael J.);Karakatsanis(Andromache);Wagner(Richard)	-	Provincial Rights	Jurisdiction
"Alberta (Information and Privacy Commissioner) v. United Food and Commercial Workers, Local 401"	1	1	0	1	0	0	McLachlin(Beverley);LeBel(Louis);Fish(Morris J.);Abella(Rosalie Silberman);Rothstein(Marshall);Cromwell(Thomas Albert);Moldaver(Michael J.);Karakatsanis(Andromache);Wagner(Richard)	-	Expression Rights	Privacy
Saskatchewan (Human Rights Commission) v. Whatcott	1	1	0	1	0	0	McLachlin(Beverley);LeBel(Louis);Fish(Morris J.);Abella(Rosalie Silberman);Rothstein(Marshall);Cromwell(Thomas Albert)	-	Freedom of Religion	Hate Speech
Canada (Citizenship and Immigration) v. Harkat	0	1	1	0	0	1	McLachlin(Beverley);LeBel(Louis);Rothstein(Marshall);Moldaver(Michael J.);Karakatsanis(Andromache);Wagner(Richard)	Cromwell(Thomas Albert);Abella(Rosalie Silberman)	"Life, Liberty, Security"	Terrorism
R. v. Taylor	1	1	0	0	1	0	Abella(Rosalie Silberman);Rothstein(Marshall);Moldaver(Michael J.);Karakatsanis(Andromache);Wagner(Richard)	-	Justice System	Right to Counsel
Marcotte v. Fédération des caisses Desjardins du Québec	0	0	1	1	0	0	McLachlin(Beverley);LeBel(Louis);Abella(Rosalie Silberman);Rothstein(Marshall);Cromwell(Thomas Albert);Moldaver(Michael J.);Wagner(Richard)	-	Provincial Rights	Jurisdiction
Amex Bank of Canada v. Adams	0	0	1	1	0	0	McLachlin(Beverley);LeBel(Louis);Abella(Rosalie Silberman);Rothstein(Marshall);Cromwell(Thomas Albert);Moldaver(Michael J.);Wagner(Richard)	-	Provincial Rights	Jurisdiction
Bank of Montreal v. Marcotte	0	0	1	1	0	0	McLachlin(Beverley);LeBel(Louis);Abella(Rosalie Silberman);Rothstein(Marshall);Cromwell(Thomas Albert);Moldaver(Michael J.);Wagner(Richard)	-	Provincial Rights	Jurisdiction
Trial Lawyers Association of British Columbia v. British Columbia (Attorney General)	1	0	0	1	0	0	McLachlin(Beverley);LeBel(Louis);Abella(Rosalie Silberman);Cromwell(Thomas Albert);Moldaver(Michael J.);Karakatsanis(Andromache)	Rothstein(Marshall)	Justice System	Court Fees
R. v. Conception	1	1	0	0	1	0	McLachlin(Beverley);LeBel(Louis);Abella(Rosalie Silberman);Rothstein(Marshall);Cromwell(Thomas Albert);Moldaver(Michael J.);Karakatsanis(Andromache);Wagner(Richard)	-	"Life, Liberty, Security"	Involuntary Treatment
Kazemi Estate v. Islamic Republic of Iran	0	1	1	0	0	1	McLachlin(Beverley);LeBel(Louis);Rothstein(Marshall);Cromwell(Thomas Albert);Moldaver(Michael J.);Karakatsanis(Andromache)	Abella(Rosalie Silberman)	International Law	State Immunity
Reference re Senate Reform	0	0	1	1	0	0	McLachlin(Beverley);LeBel(Louis);Abella(Rosalie Silberman);Rothstein(Marshall);Cromwell(Thomas Albert);Moldaver(Michael J.);Karakatsanis(Andromache);Wagner(Richard)	-	Senate	Senate Reform
R v. Spencer	0	0	1	0	1	0	McLachlin(Beverley);LeBel(Louis);Abella(Rosalie Silberman);Rothstein(Marshall);Cromwell(Thomas Albert);Moldaver(Michael J.);Karakatsanis(Andromache);Wagner(Richard)	-	Search	IP Address
R. v. Whyte	0	1	0	0	1	0	Deschamps(Marie);Fish(Morris J.);Abella(Rosalie Silberman);Rothstein(Marshall);Cromwell(Thomas Albert)	-	Search	Firearms
R. v. Côté	1	1	0	0	1	0	McLachlin(Beverley);Binnie(William Ian Corneil);LeBel(Louis);Fish(Morris J.);Abella(Rosalie Silberman);Charron(Louise);Rothstein(Marshall);Cromwell(Thomas Albert)	Deschamps(Marie)	Search	Exclusion of Evidence
Canada (Attorney General) v. PHS Community Services Society	1	1	1	1	0	0	McLachlin(Beverley);Binnie(William Ian Corneil);LeBel(Louis);Deschamps(Marie);Fish(Morris J.);Abella(Rosalie Silberman);Charron(Louise);Rothstein(Marshall);Cromwell(Thomas Albert)	-	"Life, Liberty, Security"	Safe Injection Site
Alberta (Aboriginal Affairs and Northern Development) v. Cunningham	0	1	0	1	0	0	McLachlin(Beverley);Binnie(William Ian Corneil);LeBel(Louis);Deschamps(Marie);Fish(Morris J.);Abella(Rosalie Silberman);Charron(Louise);Rothstein(Marshall);Cromwell(Thomas Albert)	-	Equality	Ameliorative Programs
R. v. Nixon	0	1	0	0	1	0	McLachlin(Beverley);Binnie(William Ian Corneil);LeBel(Louis);Deschamps(Marie);Fish(Morris J.);Abella(Rosalie Silberman);Charron(Louise);Rothstein(Marshall);Cromwell(Thomas Albert)	-	Justice System	Plea Agreement
R. v. Campbell	0	1	0	0	1	0	LeBel(Louis);Deschamps(Marie);Fish(Morris J.);Abella(Rosalie Silberman);Charron(Louise);Rothstein(Marshall);Cromwell(Thomas Albert)	-	Search	Firearms
R. v. Loewen	0	1	0	0	1	0	McLachlin(Beverley);Binnie(William Ian Corneil);LeBel(Louis);Fish(Morris J.);Abella(Rosalie Silberman);Charron(Louise);Rothstein(Marshall)	-	Search	Drugs
Ontario (Attorney General) v. Fraser	0	1	0	1	0	0	McLachlin(Beverley);Binnie(William Ian Corneil);LeBel(Louis);Deschamps(Marie);Fish(Morris J.);Charron(Louise);Rothstein(Marshall);Cromwell(Thomas Albert)	Abella(Rosalie Silberman)	Association	Collective Bargaining
Withler v. Canada (Attorney General)	0	1	1	0	0	0	McLachlin(Beverley);Binnie(William Ian Corneil);LeBel(Louis);Deschamps(Marie);Fish(Morris J.);Abella(Rosalie Silberman);Charron(Louise);Rothstein(Marshall);Cromwell(Thomas Albert)	-	Equality	Pensions
R. v. Ahmad	0	1	1	0	1	1	McLachlin(Beverley);Binnie(William Ian Corneil);LeBel(Louis);Deschamps(Marie);Fish(Morris J.);Abella(Rosalie Silberman);Charron(Louise);Rothstein(Marshall);Cromwell(Thomas Albert)	-	Justice System	Evidence Act
Canadian Broadcasting Corp. v. Canada (Attorney General)	0	1	1	1	0	0	McLachlin(Beverley);Binnie(William Ian Corneil);LeBel(Louis);Deschamps(Marie);Fish(Morris J.);Abella(Rosalie Silberman);Charron(Louise);Rothstein(Marshall);Cromwell(Thomas Albert)	-	Freedom of Expression	Press
